queue_key,service_type,group,slug,entity_type,entity_tier,priority_tier,high_impact,entity_cohort,release_cohort,release_title,release_date,release_year,stream,release_kind,gap_status,confidence_bucket,current_status,current_url,provenance,attempted_methods_count,review_reason,recommended_action,suggested_search_query,missing_mv_allowlist,mv_allowlist_urls
f898a582-911c-5aee-bc77-72c7d5465e19:youtube_mv,youtube_mv,MAMAMOO,mamamoo,group,core,tier_1,true,historical,historical,White Wind,2019-03-14,2019,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,MAMAMOO White Wind official mv,false,https://www.youtube.com/channel/UCuhAUMLzJxlP1W7mEk0_6lA
07629c0a-e34d-5187-9180-ff10479f520a:youtube_mv,youtube_mv,TOMORROW X TOGETHER,tomorrow-x-together,group,core,tier_1,true,latest,historical,The Dream Chapter: STAR,2019-03-04,2019,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,TOMORROW X TOGETHER The Dream Chapter: STAR official mv,false,https://www.youtube.com/channel/UCtiObj3CsEAdNU6ZPWDsddQ | https://www.youtube.com/@HYBELABELS
77852469-03cc-5154-a2f3-1327f764d1a0:youtube_mv,youtube_mv,(G)I-DLE,g-i-dle,group,core,tier_1,true,historical,historical,I made,2019-02-26,2019,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,(G)I-DLE I made official mv,false,https://www.youtube.com/channel/UCritGVo7pLJLUS8wEu32vow
bd59d9af-cb3f-5d40-b664-113fdfff801c:youtube_mv,youtube_mv,Red Velvet,red-velvet,group,core,tier_1,true,historical,historical,Sayonara,2019-02-20,2019,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,Red Velvet Sayonara official mv,false,https://www.youtube.com/channel/UCk9GmdlDTBfgGRb7vXeRMoQ
f2594513-fe7a-5391-820f-c2e0024419e6:youtube_mv,youtube_mv,ITZY,itzy,group,core,tier_1,true,historical,historical,IT’z Different,2019-02-12,2019,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,ITZY IT’z Different official mv,false,https://www.youtube.com/channel/UCDhM2k2Cua-JdobAh5moMFg | https://www.youtube.com/@JYPEntertainment
c3e3e1f2-fb13-5b20-8657-b4f7039e5c24:youtube_mv,youtube_mv,SEVENTEEN,seventeen,group,core,tier_1,true,historical,historical,YOU MADE MY DAWN,2019-01-21,2019,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,SEVENTEEN YOU MADE MY DAWN official mv,false,https://www.youtube.com/channel/UC0gpUnoyhu44aS3-NxYs7rg | https://www.youtube.com/@HYBELABELS | https://www.youtube.com/channel/UCfkXDY7vwkcJ8ddFGz8KusA
641ef948-70ce-5a8e-8c74-6ccf2dce94f3:youtube_mv,youtube_mv,ATEEZ,ateez,group,core,tier_1,true,latest,historical,TREASURE EP.2 : Zero to One,2019-01-15,2019,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,ATEEZ TREASURE EP.2 : Zero to One official mv,false,https://www.youtube.com/channel/UC2e4Ukj5Pfr7cb3KpJAFBdQ
e632fb46-3f86-5b2c-9e45-09186b11aa44:youtube_mv,youtube_mv,ONEUS,oneus,group,longtail,tier_1,true,latest,historical,LIGHT US,2019-01-09,2019,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,ONEUS Intro : LIGHT US official mv,false,https://www.youtube.com/channel/UCWTYf4xModfNsyq2NUYjF5g
d7ae2560-78cb-5d60-a869-de6c62e036d0:youtube_mv,youtube_mv,Red Velvet,red-velvet,group,core,tier_1,true,historical,historical,SAPPY,2019-01-06,2019,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,Red Velvet SAPPY official mv,false,https://www.youtube.com/channel/UCk9GmdlDTBfgGRb7vXeRMoQ
190dfde7-fbc1-5ae3-ac96-2bc38a33bc01:youtube_mv,youtube_mv,NCT DREAM,nct-dream,unit,core,tier_1,true,historical,historical,사랑한단 뜻이야 (Candle Light),2018-12-17,2018,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,NCT DREAM 사랑한단 뜻이야 (Candle Light) official mv,false,https://www.youtube.com/channel/UCXURHJRGr4-EB3l87kcbElw | https://www.youtube.com/@SMTOWN
d0d7ea83-fcd6-5a96-8ff9-f2f6ba5fbb33:youtube_mv,youtube_mv,Red Velvet,red-velvet,group,core,tier_1,true,historical,historical,RBB,2018-11-30,2018,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,Red Velvet RBB official mv,false,https://www.youtube.com/channel/UCk9GmdlDTBfgGRb7vXeRMoQ
368f9d5b-cd7a-55a5-8138-f78c0faaed87:youtube_mv,youtube_mv,MAMAMOO,mamamoo,group,core,tier_1,true,historical,historical,BLUE;S,2018-11-29,2018,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,MAMAMOO BLUE;S official mv,false,https://www.youtube.com/channel/UCuhAUMLzJxlP1W7mEk0_6lA
14f6c0e5-199f-5c14-b89b-ddd18158d886:youtube_mv,youtube_mv,BTS,bts,group,core,tier_1,true,latest,historical,FAKE LOVE / Airplane pt.2,2018-11-07,2018,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,10,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,BTS FAKE LOVE -Japanese ver.- official mv,false,https://www.youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ | https://www.youtube.com/@HYBELABELS
19011694-f549-5099-9059-bed9a3388ea5:youtube_mv,youtube_mv,EXO,exo,group,core,tier_1,true,historical,historical,DON’T MESS UP MY TEMPO,2018-11-02,2018,album,album,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,EXO Tempo official mv,false,https://www.youtube.com/channel/UCzCedBCSSltI1TFd3bKyN6g | https://www.youtube.com/@SMTOWN
f2c68e58-11cc-5e60-8160-bfcec990e341:youtube_mv,youtube_mv,BTS,bts,group,core,tier_1,true,latest,historical,Waste It on Me,2018-10-25,2018,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,10,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,BTS Waste It on Me official mv,false,https://www.youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ | https://www.youtube.com/@HYBELABELS
