queue_key,group,slug,entity_type,entity_tier,priority_tier,high_impact,entity_cohort,release_cohort,release_title,release_date,release_year,stream,release_kind,title_track_status,candidate_title_count,double_title_candidate,track_titles,candidate_titles,candidate_sources,review_reason,recommended_action
c1ba2444-7538-52b1-b7da-213566f50509,Stray Kids,stray-kids,group,core,tier_1,true,recent,recent,合 (HOP),2024-12-13,2024,album,ep,review_needed,0,false,"Walkin on Water | Bounce Back | U | Walkin on Water (HIP ver.) | Railway | Unfair | HALLUCINATION | Youth | So Good | ULTRA | Hold my hand | 그렇게, 천천히, 우리 (As We Are)",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
e2720f9e-8193-5967-bd7e-9178a625e2a0,TWS,tws,group,core,tier_1,true,latest,recent,Last Bell,2024-11-25,2024,song,single,review_needed,0,false,"Highlight | Last Festival | Comma,",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
3a9d64c2-ffa5-5c80-8494-76521998e795,ATEEZ,ateez,group,core,tier_1,true,recent,recent,GOLDEN HOUR : Part.2,2024-11-15,2024,album,ep,review_needed,0,false,DEEP DIVE | Scene 1 : Value | Ice on My Teeth | Man on Fire | Selfish Waltz | Enough,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
6937c700-c0cc-5275-b4ba-0c52846e97b9,TOMORROW X TOGETHER,tomorrow-x-together,group,core,tier_1,true,latest,recent,The Star Chapter: SANCTUARY (Expanded Edition),2024-11-08,2024,album,ep,review_needed,0,false,Heaven | Over The Moon | Danger | Resist (Not Gonna Run Away) | Forty One Winks | Higher Than Heaven | Over The Moon (English ver.) | Over The Moon (Deep House Remix) | Over The Moon (R&B Remix) | Over The Moon (Rock Remix),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ec11c1a6-c5f7-521d-a333-7145eb656bdc,TOMORROW X TOGETHER,tomorrow-x-together,group,core,tier_1,true,latest,recent,The Star Chapter: SANCTUARY,2024-11-04,2024,album,ep,review_needed,0,false,Heaven | Over the Moon | Danger | Resist (Not Gonna Run Away) | Forty One Winks | Higher Than Heaven,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
39671333-fd07-5139-aafc-f67c6ad62261,ONEUS,oneus,group,longtail,tier_1,true,latest,recent,"로드 투 킹덤 : ACE OF ACE 〈NO LIMIT〉, Pt. 2",2024-10-31,2024,album,ep,review_needed,0,false,Armageddon | Love Dive | 월하미인 (LUNA) | Armageddon (inst.) | Love Dive (inst.) | 월하미인 (LUNA) (inst.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
c0ecf739-01eb-54f3-8ca9-df55c929473c,SEVENTEEN,seventeen,group,core,tier_1,true,recent,recent,SPILL THE FEELS,2024-10-14,2024,album,ep,review_needed,0,false,"Eyes on you? | LOVE, MONEY, FAME | 1 TO 13 | Candy | Rain | Water",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
403a26f7-5bc4-5feb-95ae-2f4de4798ea9,AB6IX,ab6ix,group,longtail,tier_1,true,latest,recent,BORN LIKE THIS,2024-10-10,2024,album,ep,review_needed,0,false,In My Vein | NVKED | Forever Young | Hurt Me | Butterfly Effect,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
b7cc180f-e6c9-5c84-875b-31db76bc070c,NCT DREAM,nct-dream,unit,core,tier_1,true,recent,recent,RE:WORKS,2024-10-10,2024,song,single,review_needed,0,false,Supernova (KENZIE RE:WORKS) | Hello Future (KENZIE RE:WORKS) | Memories (KENZIE RE:WORKS),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
2914aa87-9a1b-5638-9045-3ab70233fa2d,aespa,aespa,group,core,tier_1,true,recent,recent,SYNK : PARALLEL LINE,2024-10-09,2024,song,single,review_needed,0,false,UP | Dopamine | Bored! | Spark,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
