group,release_title,release_date,stream,release_kind,track_titles,candidate_titles,candidate_sources,review_reason,recommended_action
FIFTY FIFTY,Winter Glow,2024-12-09,song,single,When You Say My Name ; Naughty or Nice,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
fromis_9,Unlock My World,2023-06-05,album,album,Attitude ; #menow ; Wishlist ; In the Mirror ; Don’t Care ; Prom Night ; Bring It On ; What I Want ; My Night Routine ; Eye Contact,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
fromis_9,From Our 20’s,2025-06-25,album,ep,LIKE YOU BETTER ; REBELUTIONAL ; Love=Disaster ; Strawberry Mimosa ; Twisted Love ; Merry Go Round,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
GHOST9,ARCADE : O,2023-10-25,album,ep,Let’s Get Lost ; RUCKUS ; B.O.M.C. (Bang On My Chest) ; Rolling Stones ; Love Parachute ; Bookmark,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
H1-KEY,Seoul Dreaming,2023-08-30,album,ep,Intro : Seoul Dreaming ; SEOUL (Such a Beautiful City) ; 불빛을 꺼뜨리지 마 (Time to Shine) ; Low‐key Scared But H1-KEY Ready ; Magical Dream ; SEOUL (Such a Beautiful City) (inst.) ; 불빛을 꺼뜨리지 마 (Time to Shine) (inst.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
H1-KEY,LOVE or HATE,2024-06-19,album,ep,Let It Burn ; ♥ Letter ; Iconic ; Rainfalls,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
H1-KEY,Lovestruck,2025-06-26,album,ep,"Good for U ; Summer Was You ; One, Two, Three, Four ; Let Me Be Your Sea ; Summer Was You (instrumental)",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
H1-KEY,LOVECHAPTER,2026-03-05,album,ep,Be full of Romantic ; To. My First Love ; Stuck with You ; My Wish ; Not Like a Movie ; To. My First Love (instrumental) ; Not Like a Movie (instrumental),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ifeye,ERLU BLUE,2025-04-08,album,ep,NERDY ; IRL ; BUBBLE UP ; NERDY (English version),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ifeye,sweet tang,2025-07-16,album,ep,loverboy ; friend like me ; round and round ; ifeye (interlude) ; r u ok? ; say moo! ; echo,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
INFINITE,13egin,2023-07-31,album,ep,Intro : 13 ; New Emotions ; 시차 ; I Got You ; Find Me ; New Emotions (inst.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
INFINITE,LIKE INFINITE,2025-03-06,album,ep,Heat It Up ; Dangerous ; Way You Are ; Umbrella ; Sad Loop ; Where U R ; Dangerous (inst.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ITZY,KILL MY DOUBT,2023-07-31,album,ep,BET ON ME ; CAKE ; None of My Business ; Bratty (나쁜 애) ; Psychic Lover ; Kill Shot,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ITZY,Collector,2025-10-08,album,album,ROCK & ROLL ; I. I. Know Me ; Out of season ; Trigger ; Wind Ride ; Algorhythm (Final ver.) ; No Biggie (Final ver.) ; GOLD -Japanese ver.- ; Imaginary Friend -Japanese ver.- ; Girls Will Be Girls -Japanese ver.-,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
IVE,IVE SWITCH,2024-04-29,album,ep,해야 (HEYA) ; Accendio ; Blue Heart ; Ice Queen ; WOW ; RESET,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
IVE,IVE SECRET,2025-08-25,album,ep,"XOXZ ; Wild Bird ; Dear, My Feelings ; GOTCHA (Baddest Eros) ; 삐빅 (♥beats) ; Midnight Kiss",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
izna,N/a,2024-11-25,album,ep,IZNA ; TIMEBOMB ; IWALY (izna ver.) ; DRIP ; FAKE IT,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
izna,Not Just Pretty,2025-09-30,album,ep,Supercrush ; Mamma Mia ; Racecar ; In the Rain ; SIGN (remix),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
JEON SOMI,GAME PLAN,2023-08-07,album,ep,금금금 ; Fast Forward ; 개별로 ; 자두 ; The Way,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
KARD,Where To Now? (Part 1 : Yellow Light),2024-08-13,album,ep,Waste My Time ; Tell My Momma ; Boombox ; SHIMMY SHIMMY ; SPIN ; Tell My Momma (inst.) ; Boombox (inst.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
KARD,DRIFT,2025-07-02,album,ep,BETCHA ; Touch ; Before We Go ; Top Down ; Pivot ; Touch (instrumental) ; Pivot (instrumental),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
